genre,movie,top_50_rank
Action,tt13923456,31
Action,tt6334354,32
Action,tt15767808,33
Action,tt8019518,34
Action,tt12261776,35
Action,tt3291150,36
Action,tt1462764,37
Action,tt1877830,38
Action,tt4154796,39
Action,tt2911666,40
Action,tt10648342,41
Action,tt10872600,42
Action,tt5688068,43
Action,tt0468569,44
Action,tt1375666,45
Action,tt5433138,46
Action,tt1856101,47
Action,tt16428256,48
Action,tt0082198,49
Action,tt0092099,50
History,tt15398776,1
History,tt24268454,2
History,tt21867434,3
History,tt8105234,4
History,tt5537002,5
History,tt10640346,6
History,tt15767808,7
History,tt12758060,8
History,tt0265086,9
History,tt0108358,10
History,tt10304142,11
History,tt0108052,12
History,tt11138512,13
History,tt2119532,14
History,tt12672536,15
History,tt0962736,16
History,tt2560078,17
History,tt5013056,18
History,tt1790885,19
History,tt0054331,20
History,tt8093700,21
History,tt17277414,22
History,tt4172430,23
History,tt13287846,24
History,tt0213149,25
History,tt0112573,26
History,tt5083738,27
History,tt1596363,28
History,tt8503618,29
History,tt4846340,30
History,tt7984766,31
History,tt1413492,32
History,tt0080491,33
History,tt4244994,34
History,tt4572514,35
History,tt0056937,36
History,tt1504320,37
History,tt0320661,38
History,tt0112384,39
History,tt0086197,40
History,tt7599146,41
History,tt0363163,42
History,tt12758486,43
History,tt6924650,44
History,tt0053946,45
History,tt14807308,46
History,tt1014763,47
History,tt1028576,48
History,tt0187393,49
History,tt6048922,50
Mystery,tt17663992,1
Mystery,tt5433140,2
Mystery,tt13560574,3
Mystery,tt8080204,4
Mystery,tt15679400,5
Mystery,tt5537002,6
Mystery,tt11245972,7
Mystery,tt20859464,8
Mystery,tt8772262,9
Mystery,tt14557188,10
Mystery,tt10954984,11
Mystery,tt1856101,12
Mystery,tt9411972,13
Mystery,tt10365998,14
Mystery,tt11564570,15
Mystery,tt0117571,16
Mystery,tt15474916,17
Mystery,tt0120689,18
Mystery,tt15791034,19
Mystery,tt7784604,20
Mystery,tt15255288,21
Mystery,tt1392214,22
Mystery,tt10304142,23
Mystery,tt0114369,24
Mystery,tt5886046,25
Mystery,tt9844522,26
Mystery,tt10275534,27
Mystery,tt1262416,28
Mystery,tt3155298,29
Mystery,tt5052448,30
Mystery,tt8946378,31
Mystery,tt0364569,32
Mystery,tt14138650,33
Mystery,tt7638348,34
Mystery,tt2935510,35
Mystery,tt10855768,36
Mystery,tt0482571,37
Mystery,tt21087452,38
Mystery,tt1130884,39
Mystery,tt10016180,40
Mystery,tt10272386,41
Mystery,tt0073195,42
Mystery,tt0078788,43
Mystery,tt1273235,44
Mystery,tt0120663,45
Mystery,tt6079516,46
Mystery,tt2267998,47
Mystery,tt7752126,48
Mystery,tt1964418,49
Mystery,tt2543164,50
Sci-Fi,tt6791350,1
Sci-Fi,tt9224104,2
Sci-Fi,tt15239678,3
Sci-Fi,tt2015381,4
Sci-Fi,tt3896198,5
Sci-Fi,tt13130024,6
Sci-Fi,tt0439572,7
Sci-Fi,tt14230458,8
Sci-Fi,tt10954600,9
Sci-Fi,tt9362722,10
Sci-Fi,tt1160419,11
Sci-Fi,tt1630029,12
Sci-Fi,tt5090568,13
Sci-Fi,tt4779682,14
Sci-Fi,tt6528290,15
